power2Size: 32
Color: 1 , upperR: 0  , upperC: 0 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 0  , upperC: 1 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 1  , upperC: 0 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 1  , upperC: 1 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 0  , upperC: 0 , Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 0  , upperC: 2 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 0  , upperC: 3 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 1  , upperC: 2 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 1  , upperC: 3 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 0  , upperC: 2 , Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 2  , upperC: 0 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 2  , upperC: 1 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 3  , upperC: 0 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 3  , upperC: 1 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 2  , upperC: 0 , Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 2  , upperC: 2 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 2  , upperC: 3 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 3  , upperC: 2 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 3  , upperC: 3 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 2  , upperC: 2 , Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 0  , upperC: 0 , Size: 4 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 0  , upperC: 4 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 0  , upperC: 5 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 1  , upperC: 4 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 1 , upperR: 1  , upperC: 5 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
